County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference_1
Albany,Altamont Orchards Farm Stand,6654 Dunnsville Rd Altamont,6654 Dunnsville Road,Altamont,NY,12009,Jim Abbruzzese,5188616515,http://www.altamontorchards.com,"Mon-Fri 10am-5pm, Sat/Sun 9:30am-4pm",May 10-December 21,P/M/X,Y,N,N,Y,42.72256,-74.01493,POINT (-74.01493 42.72256)
Albany,Empire State Plaza Wed Farmers' Market,"Empire State Plaza, (Winter inside South Concourse)",170 State St,Albany,NY,12210,Nicholas DeBlois,5184744759,https://empirestateplaza.ny.gov/empire-state-plaza-farmers-market,Wed 10am-2pm,Year-round,YR,N,Y,Y,Y,42.65068,-73.758,POINT (-73.758 42.65068)
Albany,The Gade Farm Farm Stand,2479 Western Ave Altamont,2479 Western Avenue,Altamont,NY,12009,Amy Castillo,5188698019,http://www.gadefarm.com,"Mon-Fri 9am-6pm, Sun/Sat 9am-4pm",Year-round,YR,Y,N,N,Y,42.71055,-73.92593,POINT (-73.92593 42.71055)
Albany,Veggie Mobile-Cohoes Senior Ctr,10 Cayuga Plaza Cohoes,10 Cayuga Plaza,Cohoes,NY,12047,Collin Parliman,5182748685,http://www.capitalroots.org,Wed 2pm-3pm,Year-round,YR,Y,Y,N,Y,42.77603,-73.70103,POINT (-73.70103 42.77603)
Albany,Veggie Mobile-South Mall Towers,101 S Pearl St Albany,101 South Pearl Street,Albany,NY,12207,Collin Parliman,5182748685,http://www.capitalroots.org,Fri 10:30am-11:30am,Year-round,YR,Y,Y,N,Y,42.6465,-73.75482,POINT (-73.75482 42.6465)
Albany,Veggie Mobile Sprout-St. Sophia Church,440 Whitehall Rd. Albany,440 Whitehall Road,Albany,NY,12208,Collin Parliman,5182748685,http://www.capitalroots.org,Wed 11:30am-12:30pm,Year-round,YR,Y,Y,N,Y,42.65197,-73.81477,POINT (-73.81477 42.65197)
Albany,Veggie Mobile-Steamboat Square Apts,200 Green St Albany,200 Green Street,Albany,NY,12202,Jessica Trowbridge,5182748685,http://www.capitalroots.org,Thu 3pm-3:45am,Year-round,YR,Y,N,N,Y,42.64071,-73.75345,POINT (-73.75345 42.64071)
Albany,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace Albany,2 Thurlow Terrace,Albany,NY,12203,Collin Parliman,5182748685,http://www.capitalroots.org,Wed 12:45pm-1:30pm,Year-round,YR,Y,Y,N,Y,42.65998,-73.77276,POINT (-73.77276 42.65998)
Albany,Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive Albany,920 Lark Drive,Albany,NY,12207,Collin Parliman,5182748685,http://www.capitalroots.org,Tue 11am-12pm,Year-round,YR,Y,Y,N,Y,42.66215,-73.74859,POINT (-73.74859 42.66215)
Broome,Broome Co Regional Sat Farmers' Market,840 Upper Front St Binghamton,840 Upper Front St.,Binghamton,NY,13905,Amanda Poodiack,6077728953,http://www.broomecountyregionalmarket.com,Sat 9am-1pm,Year-round,YR,Y,Y,Y,Y,42.12921,-75.90609,POINT (-75.90609 42.12921)
Broome,Wolfhill Farms Farm Stand,650 Hawleyton Rd Binghamton,650 Hawleyton Road,Binghamton,NY,13903,Emily Srch,9547787186,,Daily 8am-6pm,Year-round,YR,Y,N,N,Y,42.00481,-75.93334,POINT (-75.93334 42.00481)
Cattaraugus,Canticle Farm Market,3809 Old State Rd Allegany,3809 Old State Road,Allegany,NY,14706,Gina Anderson,7163730200,http://www.canticlefarm.org,Tue 12pm-6pm,Year-round,YR,Y,N,N,Y,42.09601,-78.50618,POINT (-78.50618 42.09601)
Cattaraugus,Miller's Farm Market,1685 Olean Portville Rd Olean,1685 Olean Portville Rd.,Olean,NY,14760,Shanna Miller,7163722521,,"Mon-Sat 9am-6pm, Sun 9am-5pm",April 15-December 24,P/M/X,Y,N,N,Y,42.071439,-78.39814,POINT (-78.39814 42.071439)
Cayuga,Horning's Produce Farm Stand,2213 State Rt 370 Cato,2213 State Rt 270,Cato,NY,13033,Tim Horning,3156513320,,Mon-Sat 9am-6pm,Year-round,YR,Y,Y,N,Y,43.16733,-76.59499,POINT (-76.59499 43.16733)
Cayuga,Owen Orchards Farm Stand,8174 Grant Ave Weedsport,8174 Grant Ave.,Weedsport,NY,13166,Gordon Tripp,3152524097,http://www.owenorchard.com,"Mon-Fri 9am-6pm , Sat-Sun 9am-5pm","August 1-March 31, 2026",M/X/W,Y,Y,N,Y,43.01314,-76.50749,POINT (-76.50749 43.01314)
Chautauqua,Carlberg Livestock and Produce Farm Stand,1982 Peck Settlement Rd Jamestown,1982 Peck Settlement Rd,Jamestown,NY,14701,Virginia Carlberg,7169693525,http://www.carlbergfarm.com,Sun 10am-5pm; Mon-Sat 9am-6pm,Year-round,YR,Y,Y,N,Y,42.08618,-79.18337,POINT (-79.18337 42.08618)
